Name,Nation,Age,Club,Position,Current Ability,League,Derived Price (EURm),Opening Bid (EURm)
Gabriel Martinelli,Brazil,25,Arsenal,LW,158.0,Premier Division,61.62,45
Marcus Rashford,England,28,Manchester United,LW,155.0,Premier Division,52.85,35
Dejan Kulusevski,Sweden,26,Tottenham,RW,158.0,Premier Division,61.62,45
Hakan Çalhanoglu,Türkiye,32,Inter,CDM,157.0,Serie A,58.54,40
Cristiano Ronaldo,Portugal,41,Al-Nassr,ST,157.0,Saudi Pro League,58.54,40
Marco Verratti,Italy,33,Al-Duhail,CM,158.0,Stars League,61.62,45
Sergej Milinkovic-Savic,Serbia,31,Al-Hilal,CM,158.0,Saudi Pro League,61.62,45
N'Golo Kanté,France,35,Fenerbahçe,CDM,157.0,Super League,58.54,40
James Maddison,England,29,Tottenham,AMF,154.0,Premier Division,50.21,35
Luke Shaw,England,30,Manchester United,LB,157.0,Premier Division,58.54,40
Matthijs de Ligt,Netherlands,26,Manchester United,CB,156.0,Premier Division,55.62,40
Mike Maignan,France,31,AC Milan,GK,159.0,Serie A,64.85,45
Iñaki Williams,Ghana,32,Athletic Bilbao,RW,155.0,First Division,52.85,35
David Alaba,Austria,34,Free Agent,CB,157.0,-,58.54,40
Kieran Trippier,England,35,Wolves,RB,156.0,Sky Bet Championship,55.62,40
Marco Asensio,Spain,30,Fenerbahçe,RW,158.0,Super League,61.62,45
Dayot Upamecano,France,27,Bayern Munich,CB,156.0,Bundesliga,55.62,40
Jamal Musiala,Germany,23,Bayern Munich,AMF,157.0,Bundesliga,58.54,40
Alexis Mac Allister,Argentina,27,Liverpool,CM,158.0,Premier Division,61.62,45
Enzo Fernández,Argentina,25,Chelsea,CM,156.0,Premier Division,55.62,40
Viktor Gyökeres,Sweden,28,Arsenal,ST,157.0,Premier Division,58.54,40
Jules Koundé,France,27,Barcelona,RB,155.0,First Division,52.85,35
Ángel Di María,Argentina,38,Rosario Central,RW,158.0,Premier Division,61.62,45
Nicolás Otamendi,Argentina,38,River Plate,CB,155.0,Premier Division,52.85,35
João Cancelo,Portugal,32,Al-Hilal,RB,155.0,Saudi Pro League,52.85,35
Milan Škriniar,Slovakia,31,Fenerbahçe,CB,154.0,Super League,50.21,35
Theo Hernández,France,28,Al-Hilal,LB,159.0,Saudi Pro League,64.85,45
Emiliano Martínez,Argentina,33,Aston Villa,GK,157.0,Premier Division,58.54,40
Sandro Tonali,Italy,26,Tottenham,CM,155.0,Premier Division,52.85,35
Andrew Robertson,Scotland,32,Tottenham,LB,155.0,Premier Division,52.85,35
Federico Dimarco,Italy,28,Inter,LB,155.0,Serie A,52.85,35
Marcus Thuram,France,28,Inter,ST,155.0,Serie A,52.85,35
Aurélien Tchouameni,France,26,Real Madrid,CDM,158.0,First Division,61.62,45
Koke,Spain,34,Atletico Madrid,CM,154.0,First Division,50.21,35
José Gayà,Spain,31,Valencia,LB,155.0,First Division,52.85,35
Yves Bissouma,Mali,29,Free Agent,CDM,154.0,-,50.21,35
Romelu Lukaku,Belgium,33,Fenerbahçe,ST,158.0,Super League,61.62,45
Casemiro,Brazil,34,Inter Miami,CDM,155.0,MLS,52.85,35
Leon Goretzka,Germany,31,Free Agent,CM,155.0,-,52.85,35
Alphonso Davies,Canada,25,Bayern Munich,LB,154.0,Bundesliga,50.21,35
Serge Gnabry,Germany,30,Bayern Munich,RW,156.0,Bundesliga,55.62,40
Gregor Kobel,Switzerland,28,Borussia Dortmund,GK,157.0,Bundesliga,58.54,40
Rodrigo Bentancur,Uruguay,29,Tottenham,CM,152.0,Premier Division,45.32,30
Gabriel,Brazil,28,Arsenal,CB,157.0,Premier Division,58.54,40
Mason Mount,England,27,Manchester United,AMF,155.0,Premier Division,52.85,35
Sven Botman,Netherlands,26,Newcastle United,CB,156.0,Premier Division,55.62,40
Federico Chiesa,Italy,28,Liverpool,LW,153.0,Premier Division,47.70,35
Pau Torres,Spain,29,Aston Villa,CB,155.0,Premier Division,52.85,35
Moisés Caicedo,Ecuador,24,Chelsea,CDM,156.0,Premier Division,55.62,40
Alexander Isak,Sweden,26,Liverpool,ST,158.0,Premier Division,61.62,45
Henrikh Mkhitaryan,Armenia,37,Inter,CM,155.0,Serie A,52.85,35
Adrien Rabiot,France,31,AC Milan,CM,155.0,Serie A,52.85,35
Benjamin Pavard,France,30,Inter,CB,153.0,Serie A,47.70,35
Wojciech Szczesny,Poland,36,Barcelona,GK,154.0,First Division,50.21,35
Ibrahima Konaté,France,27,Real Madrid,CB,156.0,First Division,55.62,40
Ferland Mendy,France,31,Real Madrid,LB,155.0,First Division,52.85,35
Olivier Giroud,France,39,Lille,ST,155.0,Ligue 1 Uber Eats,52.85,35
Vitinha,Portugal,26,PSG,CM,157.0,Ligue 1 Uber Eats,58.54,40
Thiago Silva,Brazil,41,Fluminense,CB,153.0,First Division,47.70,35
Nathan Aké,Netherlands,31,Fenerbahçe,CB,156.0,Super League,55.62,40
Dušan Vlahovic,Serbia,26,Beşiktaş,ST,154.0,Super League,50.21,35
Yann Sommer,Switzerland,37,Club Brugge,GK,154.0,Jupiler Pro League,50.21,35
Darwin Núñez,Uruguay,27,Al-Hilal,ST,155.0,Saudi Pro League,52.85,35
João Palhinha,Portugal,31,Bayern Munich,CDM,153.0,Bundesliga,47.70,35
Lisandro Martínez,Argentina,28,Manchester United,CB,155.0,Premier Division,52.85,35
Benjamin White,England,28,Arsenal,RB,154.0,Premier Division,50.21,35
Guglielmo Vicario,Italy,29,Tottenham,GK,152.0,Premier Division,45.32,30
Paulo Dybala,Argentina,32,AS Roma,AMF,153.0,Serie A,47.70,35
Bremer,Brazil,29,Juventus,CB,153.0,Serie A,47.70,35
Randal Kolo Muani,France,27,Juventus,ST,152.0,Serie A,45.32,30
Pervis Estupiñán,Ecuador,28,AC Milan,LB,152.0,Serie A,45.32,30
Guido Rodríguez,Argentina,32,Valencia,CDM,153.0,First Division,47.70,35
Dani Olmo,Spain,28,Barcelona,AMF,154.0,First Division,50.21,35
Sergio Canales,Spain,35,Racing Santander,AMF,152.0,First Division,45.32,30
Ben Chilwell,England,29,Strasbourg,LB,153.0,Ligue 1 Uber Eats,47.70,35
Franck Kessié,Ivory Coast,29,Free Agent,CM,154.0,-,50.21,35
Yannick Carrasco,Belgium,32,Al-Shabab,LW,153.0,Saudi Pro League,47.70,35
Marcelo Brozovic,Croatia,33,Free Agent,CDM,153.0,-,47.70,35
Jarrod Bowen,England,29,West Ham United,RW,153.0,Sky Bet Championship,47.70,35
Mats Hummels,Germany,37,Free Agent,CB,154.0,-,50.21,35
Thomas Müller,Germany,36,Vancouver,AMF,153.0,MLS,47.70,35
Rafa,Portugal,33,Benfica,AMF,155.0,Premier League,52.85,35
Mauro Icardi,Argentina,33,Free Agent,ST,153.0,-,47.70,35
Dani Carvajal,Spain,34,Free Agent,RB,154.0,-,50.21,35
Thomas Partey,Ghana,33,Free Agent,CDM,154.0,-,50.21,35
Oleksandr Zinchenko,Ukraine,29,Free Agent,LB,153.0,-,47.70,35
Diogo Costa,Portugal,26,FC Porto,GK,155.0,Premier League,52.85,35
Riyad Mahrez,Algeria,35,Free Agent,RW,154.0,-,50.21,35
Dominik Szoboszlai,Hungary,25,Liverpool,CM,153.0,Premier Division,47.70,35
Lewis Dunk,England,34,Brighton,CB,153.0,Premier Division,47.70,35
Pedro Porro,Spain,26,Tottenham,RB,152.0,Premier Division,45.32,30
Giovanni Di Lorenzo,Italy,32,Napoli,RB,152.0,Serie A,45.32,30
Alessandro Bastoni,Italy,27,Inter,CB,158.0,Serie A,61.62,45
Manuel Akanji,Switzerland,30,Inter,CB,153.0,Serie A,47.70,35
Raphinha,Brazil,29,Barcelona,RW,155.0,First Division,52.85,35
Andreas Christensen,Denmark,30,Barcelona,CB,153.0,First Division,47.70,35
Gerard Moreno,Spain,34,Villarreal,ST,154.0,First Division,50.21,35
Álex Grimaldo,Spain,30,Atletico Madrid,LB,153.0,First Division,47.70,35
Gavi,Spain,21,Barcelona,CM,153.0,First Division,47.70,35
Yan Diomandé,Ivory Coast,19,Real Madrid,CB,152.0,First Division,45.32,30
Lucas Ocampos,Argentina,32,Monterrey,RW,152.0,First Division,45.32,30
Leandro Trossard,Belgium,31,Beşiktaş,LW,154.0,Super League,50.21,35
Danilo Pereira,Portugal,34,Al-Ittihad,CB,153.0,Saudi Pro League,47.70,35
Sebastián Coates,Uruguay,35,Nacional,CB,152.0,First Division,45.32,30
Julian Brandt,Germany,30,Ajax,AMF,153.0,Eredivisie,47.70,35
Jérémy Doku,Belgium,24,Manchester City,LW,153.0,Premier Division,47.70,35
Joelinton,Brazil,29,Newcastle United,CM,151.0,Premier Division,43.06,30
Cody Gakpo,Netherlands,27,Liverpool,LW,153.0,Premier Division,47.70,35
John McGinn,Scotland,31,Aston Villa,CM,151.0,Premier Division,43.06,30
Mikel Merino,Spain,30,Arsenal,CM,153.0,Premier Division,47.70,35
Teun Koopmeiners,Netherlands,28,Juventus,AMF,152.0,Serie A,45.32,30
André-Franck Zambo Anguissa,Cameroon,30,Napoli,CM,153.0,Serie A,47.70,35
Álvaro Morata,Spain,33,Como,ST,151.0,Serie A,43.06,30
Christian Pulisic,U.S.A.,27,AC Milan,RW,152.0,Serie A,45.32,30
Julián Álvarez,Argentina,26,Atletico Madrid,ST,155.0,First Division,52.85,35
Iago Aspas,Spain,38,Celta Vigo,ST,151.0,First Division,43.06,30
Unai Simón,Spain,29,Athletic Bilbao,GK,152.0,First Division,45.32,30
Mikel Oyarzábal,Spain,29,Real Sociedad,LW,151.0,First Division,43.06,30
Ansu Fati,Spain,23,AS Monaco,LW,152.0,Ligue 1 Uber Eats,45.32,30
Rodrigo De Paul,Argentina,32,Inter Miami,CM,151.0,MLS,43.06,30
Moussa Diaby,France,27,Al-Ittihad,RW,153.0,Saudi Pro League,47.70,35
Ricardo Horta,Portugal,31,Braga,LW,152.0,Premier League,45.32,30
Luis Alberto,Spain,33,Al-Wakrah,CM,152.0,Stars League,45.32,30
João Félix,Portugal,26,Al-Nassr,ST,150.0,Saudi Pro League,40.91,30
Serhou Guirassy,Guinea,30,Borussia Dortmund,ST,150.0,Bundesliga,40.91,30
Mateo Kovacic,Croatia,32,Manchester City,CM,153.0,Premier Division,47.70,35
David Raya,Spain,30,Arsenal,GK,156.0,Premier Division,55.62,40
Manuel Ugarte,Uruguay,25,Manchester United,CDM,152.0,Premier Division,45.32,30
Kai Havertz,Germany,27,Arsenal,ST,151.0,Premier Division,43.06,30
Florian Wirtz,Germany,23,Liverpool,AMF,157.0,Premier Division,58.54,40
Granit Xhaka,Switzerland,33,Sunderland,CM,153.0,Premier Division,47.70,35
Nicolás González,Argentina,28,Juventus,RW,151.0,Serie A,43.06,30
Fikayo Tomori,England,28,AC Milan,CB,153.0,Serie A,47.70,35
Piotr Zielinski,Poland,32,Inter,CM,152.0,Serie A,45.32,30
Ivan Provedel,Italy,32,Inter,GK,151.0,Serie A,43.06,30
Alex Meret,Italy,29,Napoli,GK,151.0,Serie A,43.06,30
Marcos Llorente,Spain,31,Atletico Madrid,RB,152.0,First Division,45.32,30
Nuno Mendes,Portugal,24,PSG,LB,153.0,Ligue 1 Uber Eats,47.70,35
Francesco Acerbi,Italy,38,Free Agent,CB,150.0,-,40.91,30
Ismaël Bennacer,Algeria,28,Free Agent,CM,151.0,-,43.06,30
Kieran Tierney,Scotland,29,Celtic,LB,150.0,William Hill SPFL,40.91,30
Pablo Sarabia,Spain,34,Al-Arabi,RW,151.0,Stars League,43.06,30
Callum Wilson,England,34,Brentford,ST,151.0,Premier Division,43.06,30
Marc Guéhi,England,25,Manchester City,CB,152.0,Premier Division,45.32,30
Joe Gomez,England,29,Liverpool,CB,151.0,Premier Division,43.06,30
Wesley Fofana,France,25,Chelsea,CB,152.0,Premier Division,45.32,30
Yan Couto,Brazil,24,Como,RB,150.0,Serie A,40.91,30
Bryan Cristante,Italy,31,AS Roma,CM,149.0,Serie A,38.87,25
Domenico Berardi,Italy,31,Sassuolo,RW,150.0,Serie A,40.91,30
Mattia Zaccagni,Italy,31,Lazio,LW,152.0,Serie A,45.32,30
Stanislav Lobotka,Slovakia,31,Napoli,CDM,151.0,Serie A,43.06,30
Denzel Dumfries,Netherlands,30,Real Madrid,RB,148.0,First Division,36.93,25
Alejandro Balde,Spain,22,Barcelona,LB,150.0,First Division,40.91,30
Fabián,Spain,30,PSG,CM,149.0,Ligue 1 Uber Eats,38.87,25
Sergio Ramos,Spain,40,Free Agent,CB,151.0,-,43.06,30
Keylor Navas,Costa Rica,39,Pumas,GK,150.0,First Division,40.91,30
Danilo,Brazil,34,Flamengo,CB,151.0,First Division,43.06,30
Edson Álvarez,Mexico,28,West Ham United,CDM,151.0,Sky Bet Championship,43.06,30
Fredrik Aursnes,Norway,30,Benfica,CM,149.0,Premier League,38.87,25
Álex Moreno,Spain,33,Girona,LB,149.0,Second Division,38.87,25
Youssef En-Nesyri,Morocco,29,Al-Ittihad,ST,151.0,Saudi Pro League,43.06,30
Michael Olise,France,24,Bayern Munich,RW,152.0,Bundesliga,45.32,30
Miguel Gutiérrez,Spain,24,Bayer Leverkusen,LB,150.0,Bundesliga,40.91,30
Jonas Hofmann,Germany,33,Bayer Leverkusen,RW,149.0,Bundesliga,38.87,25
Mohammed Kudus,Ghana,25,Tottenham,RW,149.0,Premier Division,38.87,25
Joško Gvardiol,Croatia,24,Manchester City,CB,150.0,Premier Division,40.91,30
Jordan Pickford,England,32,Everton,GK,149.0,Premier Division,38.87,25
Dominic Calvert-Lewin,England,29,Leeds United,ST,150.0,Premier Division,40.91,30
Kostas Tsimikas,Greece,30,Liverpool,LB,150.0,Premier Division,40.91,30
Tijjani Reijnders,Netherlands,27,Manchester City,CM,151.0,Premier Division,43.06,30
Takehiro Tomiyasu,Japan,27,Crystal Palace,RB,150.0,Premier Division,40.91,30
Martín Zubimendi,Spain,27,Arsenal,CDM,154.0,Premier Division,50.21,35
Ruben Loftus-Cheek,England,30,AC Milan,CM,151.0,Serie A,43.06,30
Matteo Politano,Italy,32,Napoli,RW,151.0,Serie A,43.06,30
Artem Dovbyk,Ukraine,29,Bologna,ST,149.0,Serie A,38.87,25
Gonçalo Ramos,Portugal,25,AC Milan,ST,149.0,Serie A,38.87,25
Brahim Díaz,Morocco,26,Real Madrid,AMF,150.0,First Division,40.91,30
Ademola Lookman,Nigeria,28,Atletico Madrid,LW,152.0,First Division,45.32,30
Isco,Spain,34,Real Betis,AMF,149.0,First Division,38.87,25
Álex Remiro,Spain,31,Real Sociedad,GK,151.0,First Division,43.06,30
Aymeric Laporte,Spain,32,Athletic Bilbao,CB,150.0,First Division,40.91,30
Ferran Torres,Spain,26,Barcelona,LW,151.0,First Division,43.06,30
Ciro Immobile,Italy,36,Paris FC,ST,150.0,Ligue 1 Uber Eats,40.91,30
Héctor Herrera,Mexico,36,Houston,CM,149.0,MLS,38.87,25
Yassine Bounou,Morocco,35,Al-Hilal,GK,150.0,Saudi Pro League,40.91,30
Fred,Brazil,33,Fenerbahçe,CM,152.0,Super League,45.32,30
Fabinho,Brazil,32,Free Agent,CDM,152.0,-,45.32,30
Otávio,Portugal,31,Al-Qadsiah,RW,149.0,First Division,38.87,25
Talisca,Brazil,32,Fenerbahçe,AMF,151.0,Super League,43.06,30
Lucas Paquetá,Brazil,28,Flamengo,AMF,150.0,First Division,40.91,30
Pepê,Brazil,29,FC Porto,RW,151.0,Premier League,43.06,30
James Ward-Prowse,England,31,West Ham United,CM,149.0,Sky Bet Championship,38.87,25
Ivan Toney,England,30,Al-Ahli,ST,149.0,Saudi Pro League,38.87,25
Pedro Gonçalves,Portugal,28,Sporting CP,AMF,149.0,Premier League,38.87,25
Memphis Depay,Netherlands,32,Free Agent,ST,148.0,-,36.93,25
Lucas Torreira,Uruguay,30,Galatasaray,CDM,149.0,Super League,38.87,25
Rúben Neves,Portugal,29,Al-Hilal,CDM,149.0,Saudi Pro League,38.87,25
Aleksandar Mitrovic,Serbia,31,Al-Rayyan,ST,151.0,Stars League,43.06,30
Dani Ceballos,Spain,29,Free Agent,CM,149.0,-,38.87,25
Mateus Uribe,Colombia,35,Atlético Nacional,CM,149.0,First Division,38.87,25
Luis Suárez,Uruguay,39,Inter Miami,ST,153.0,MLS,47.70,35
Kalidou Koulibaly,Senegal,35,Al-Hilal,CB,151.0,Saudi Pro League,43.06,30
Kurt Zouma,France,31,Free Agent,CB,149.0,-,38.87,25
Sadio Mané,Senegal,34,Al-Nassr,LW,151.0,Saudi Pro League,43.06,30
Édouard Mendy,Senegal,34,Al-Ahli,GK,150.0,Saudi Pro League,40.91,30
Allan Saint-Maximin,France,29,Charlotte FC,LW,152.0,MLS,45.32,30
Presnel Kimpembe,France,30,Al-Kharaitiyat,CB,148.0,Q-League,36.93,25
Konrad Laimer,Austria,29,Bayern Munich,RB,151.0,Bundesliga,43.06,30
Willi Orbán,Hungary,33,RB Leipzig,CB,149.0,Bundesliga,38.87,25
Jonathan Tah,Germany,30,Bayern Munich,CB,149.0,Bundesliga,38.87,25
Conor Gallagher,England,26,Tottenham,CM,148.0,Premier Division,36.93,25
Curtis Jones,England,25,Liverpool,CM,150.0,Premier Division,40.91,30
Noussair Mazraoui,Morocco,28,Manchester United,RB,147.0,Premier Division,35.09,25
Kaoru Mitoma,Japan,29,Brighton,LW,149.0,Premier Division,38.87,25
Matheus Nunes,Portugal,27,Manchester City,CM,152.0,Premier Division,45.32,30
Pascal Groß,Germany,35,Brighton,CM,150.0,Premier Division,40.91,30
Nahuel Molina,Argentina,28,AS Roma,RB,151.0,Serie A,43.06,30
David Neres,Brazil,29,Napoli,RW,148.0,Serie A,36.93,25
Douglas Luiz,Brazil,28,Juventus,CM,148.0,Serie A,36.93,25
Ederson,Brazil,27,Atalanta,CM,151.0,Serie A,43.06,30
Manuel Locatelli,Italy,28,Juventus,CDM,148.0,Serie A,36.93,25
Davide Frattesi,Italy,26,Inter,CM,150.0,Serie A,40.91,30
Takefusa Kubo,Japan,25,Real Sociedad,RW,150.0,First Division,40.91,30
Robin Le Normand,Spain,29,Atletico Madrid,CB,149.0,First Division,38.87,25
Nico Williams,Spain,24,Athletic Bilbao,LW,152.0,First Division,45.32,30
José Giménez,Uruguay,31,Atletico Madrid,CB,149.0,First Division,38.87,25
Alexandr Golovin,Russia,30,AS Monaco,AMF,150.0,Ligue 1 Uber Eats,40.91,30
Edmond Tapsoba,Burkina Faso,27,Bayer Leverkusen,CB,148.0,Bundesliga,36.93,25
Exequiel Palacios,Argentina,27,Bayer Leverkusen,CM,148.0,Bundesliga,36.93,25
Marcel Sabitzer,Austria,32,Borussia Dortmund,CM,148.0,Bundesliga,36.93,25
Pape Matar Sarr,Senegal,23,Tottenham,CM,149.0,Premier Division,38.87,25
Eddie Nketiah,England,27,Crystal Palace,ST,148.0,Premier Division,36.93,25
Emile Smith Rowe,England,25,Fulham,AMF,148.0,Premier Division,36.93,25
Ebere Eze,England,28,Arsenal,AMF,148.0,Premier Division,36.93,25
Jurriën Timber,Netherlands,25,Arsenal,RB,149.0,Premier Division,38.87,25
Axel Disasi,France,28,Chelsea,CB,150.0,Premier Division,40.91,30
Giorgi Mamardashvili,Georgia,25,Liverpool,GK,149.0,Premier Division,38.87,25
Xavi Simons,Netherlands,23,Tottenham,AMF,150.0,Premier Division,40.91,30
Fábio Vieira,Portugal,26,Arsenal,AMF,147.0,Premier Division,35.09,25
Fabian Schär,Switzerland,34,Newcastle United,CB,147.0,Premier Division,35.09,25
Amir Rrahmani,Kosovo,32,Napoli,CB,148.0,Serie A,36.93,25
Trevoh Chalobah,England,27,Como,CB,148.0,Serie A,36.93,25
Alessio Romagnoli,Italy,31,Lazio,CB,148.0,Serie A,36.93,25
Anthony Gordon,England,25,Barcelona,LW,148.0,First Division,36.93,25
Carlos Soler,Spain,29,Real Sociedad,CM,148.0,First Division,36.93,25
Dani Vivian,Spain,27,Athletic Bilbao,CB,150.0,First Division,40.91,30
Oihan Sancet,Spain,26,Athletic Bilbao,AMF,150.0,First Division,40.91,30
Thomas Lemar,France,30,Atletico Madrid,CM,147.0,First Division,35.09,25
Loïs Openda,Belgium,26,Lyon,ST,148.0,Ligue 1 Uber Eats,36.93,25
Warren Zaïre-Emery,France,20,PSG,CM,148.0,Ligue 1 Uber Eats,36.93,25
Martin Terrier,France,29,Bayer Leverkusen,LW,148.0,Bundesliga,36.93,25
Emre Can,Germany,32,Borussia Dortmund,CDM,147.0,Bundesliga,35.09,25
Nicolas Jackson,Senegal,25,Chelsea,ST,149.0,Premier Division,38.87,25
Xaver Schlager,Austria,28,Nottingham Forest,CM,149.0,Premier Division,38.87,25
Youri Tielemans,Belgium,29,Manchester United,CM,147.0,Premier Division,35.09,25
Joachim Andersen,Denmark,30,Fulham,CB,147.0,Premier Division,35.09,25
Reiss Nelson,England,26,Arsenal,RW,148.0,Premier Division,36.93,25
Nick Pope,England,34,Newcastle United,GK,147.0,Premier Division,35.09,25
Ezri Konsa,England,28,Aston Villa,CB,147.0,Premier Division,35.09,25
Harvey Elliott,England,23,Liverpool,RW,148.0,Premier Division,36.93,25
Joshua Zirkzee,Netherlands,25,Manchester United,ST,148.0,Premier Division,36.93,25
Jan Paul van Hecke,Netherlands,26,Tottenham,CB,149.0,Premier Division,38.87,25
Micky van de Ven,Netherlands,25,Tottenham,CB,148.0,Premier Division,36.93,25
Boubacar Kamara,France,26,Aston Villa,CDM,148.0,Premier Division,36.93,25
Benoît Badiashile,France,25,Chelsea,CB,151.0,Premier Division,43.06,30
Charles De Ketelaere,Belgium,25,Atalanta,ST,148.0,Serie A,36.93,25
Albert Guðmundsson,Iceland,29,Fiorentina,ST,147.0,Serie A,35.09,25
Gianluca Mancini,Italy,30,AS Roma,CB,147.0,Serie A,35.09,25
Lorenzo Pellegrini,Italy,30,AS Roma,AMF,146.0,Serie A,33.34,25
Morten Hjulmand,Denmark,27,Atletico Madrid,CDM,147.0,First Division,35.09,25
Lutsharel Geertruida,Netherlands,25,RB Leipzig,RB,147.0,Bundesliga,35.09,25
Lucas Vázquez,Spain,35,Bayer Leverkusen,RB,149.0,Bundesliga,38.87,25
Reinildo,Mozambique,32,Sunderland,LB,147.0,Premier Division,35.09,25
Evanilson,Brazil,26,Bournemouth,ST,145.0,Premier Division,31.67,20
Danny Welbeck,England,35,Chelsea,ST,148.0,Premier Division,36.93,25
Jeremie Frimpong,Netherlands,25,Liverpool,RB,149.0,Premier Division,38.87,25
Ollie Watkins,England,30,Aston Villa,ST,149.0,Premier Division,38.87,25
